authors,first_name,last_name,title,description,rating,review_date,review,status,began_date,completed_date,tags,notes,groups,copies,created,publisher,publish_date,pages,price,isbn10,isbn13
"Robert B. Pippin",Robert,Pippin,"Persistence of Subjectivity: On the Kantian Aftermath, The","The Persistence of Subjectivity examines several approaches to and critiques of the core notion in the self-understanding and legitimation of the modern, ""bourgeois"" form of life: the free, reflective, self-determining subject. Since it is a relatively recent historical development that human beings think of themselves as individual centers of agency, and that one's entitlement to such a self-determining life is absolutely valuable, the issue at stake also involves the question of the historical location of philosophy. What might it mean to take seriously Hegel's claim that philosophical reflection is always reflection on the historical ""actuality"" of its own age? Discussing Heidegger, Gadamer, Adorno, Leo Strauss, Manfred Frank, and John McDowell,  Robert Pippin attempts to understand how subjectivity arises in contemporary institutional practices such as medicine, as well as in other contexts such as modernism in the visual arts and in the novels of Marcel Proust.",,,,,,,,,,1,2015-08-22,"Cambridge University Press",2005-05-02,380,,0521613043,9780521613040
"Max Horkheimer,Theodor W. Adorno",Max,Horkheimer,"Dialectic of Enlightenment (Cultural Memory in the Present)","Dialectic of Enlightenment is undoubtedly the most influential publication of the Frankfurt School of Critical Theory.  Written during the Second World War and circulated privately, it appeared in a printed edition in Amsterdam in 1947.  ""What we had set out to do,"" the authors write in the Preface, ""was nothing less than to explain why humanity, instead of entering a truly human state, is sinking into a new kind of barbarism.""Yet the work goes far beyond a mere critique of contemporary events. Historically remote developments, indeed, the birth of Western history and of subjectivity itself out of the struggle against natural forces, as represented in myths, are connected in a wide arch to the most threatening experiences of the present. The book consists in five chapters, at first glance unconnected, together with a number of shorter notes.  The various analyses concern such phenomena as the detachment of science from practical life, formalized morality, the manipulative nature of entertainment culture, and a paranoid behavioral structure, expressed in aggressive anti-Semitism, that marks the limits of enlightenment.  The authors perceive a common element in these phenomena, the tendency toward self-destruction of the guiding criteria inherent in enlightenment thought from the beginning.  Using historical analyses to elucidate the present, they show, against the background of a prehistory of subjectivity, why the National Socialist terror was not an aberration of modern history but was rooted deeply in the fundamental characteristics of Western civilization.Adorno and Horkheimer see the self-destruction of Western reason as grounded in a historical and fateful dialectic between the domination of external nature and society.  They trace enlightenment, which split these spheres apart, back to its mythical roots.  Enlightenment and myth, therefore, are not irreconcilable opposites, but dialectically mediated qualities of both real and intellectual life.  ""Myth is already enlightenment, and enlightenment reverts to mythology.""  This paradox is the fundamental thesis of the book.This new translation, based on the text in the complete edition of the works of Max Horkheimer, contains textual variants, commentary upon them, and an editorial discussion of the position of this work in the development of Critical Theory.",,,,,,,,,,1,2015-08-22,"Stanford University Press",2007-03-13,304,,0804736332,9780804736336
,,,"Innate Mind: Volume 2: Culture and Cognition (Evolution and Cognition Series), The","This is the second volume of a projected three-volume set on the subject of innateness. The volume is highly interdisciplinary, and addresses such question as: To what extent are mature cognitive capacities a reflection of particular cultures and to what extent are they a product of innate elements? How do innate elements interact with culture to achieve mature cognitive capacities? How do minds generate and shape cultures? How are cultures processed by minds? The volume will be of great importance to anyone interested in the interplay between culture and the innate mind.",,,,,,,,,,1,2015-08-22,"Oxford University Press",2007-01-04,368,,0195310144,9780195310146
,,,"Innate Mind: Structure and Contents (Evolution and Cognition Series), The","This is the first volume of a projected three-volume set on the subject of innateness. The extent to which the mind is innate is one of the central questions in the human sciences, with important implications for many surrounding debates. By bringing together the top nativist scholars in philosophy, psychology, and allied disciplines these volumes provide a comprehensive assessment of nativist thought and a definitive reference point for future nativist inquiry.The Innate Mind: Structure and Content, concerns the fundamental architecture of the mind, addressing such question as: What capacities, processes, representations, biases, and connections are innate? How do these innate elements feed into a story about the development of our mature cognitive capacities, and which of them are shared with other members of the animal kingdom? The editors have provided an introduction giving some of the background to debates about innateness and introducing each of the subsequent essays, as well as a consolidated bibliography that will be a valuable reference resource for all those interested in this area. The volume will be of great importance to all researchers and students interested in the fundamental nature and powers of the human mind.Together, the three volumes in the series will provide the most intensive and richly cross-disciplinary investigation of nativism ever undertaken. They point the way toward a synthesis of nativist work that promises to provide a new understanding of our minds and their place in the natural order.",,,,,,,,,,1,2015-08-22,"Oxford University Press",2005-07-14,448,,0195179994,9780195179996
"Peter Carruthers,Stephen Laurence,Stephen Stich",Peter,Carruthers,"Innate Mind: Volume 3: Foundations and the Future (Evolution and Cognition Series), The","This is the third volume of a three-volume set on The Innate Mind. The extent to which cognitive structures, processes, and contents are innate is one of the central questions concerning the nature of the mind, with important implications for debates throughout the human sciences. By bringing together the top nativist scholars in philosophy, psychology, and allied disciplines these volumes provide a comprehensive assessment of nativist thought and a definitive reference point for future nativist inquiry. The Innate Mind: Volume 3: Foundations and the Future, concerns a variety of foundational issues as well as questions about the direction of future nativist research. It addresses such questions as: What is innateness? Is it a confused notion? What is at stake in debates between nativists and empiricists? What is the relationship between genes and innateness? How do innate structures and learned information interact to produce adult forms of cognition, e.g. about number, and how does such learning take place? What innate abilities underlie the creative aspect of language, and of creative cognition generally? What are the innate foundations of human motivation, and of human moral cognition? In the course of their discussions, many of the contributors pose the question (whether explicitly or implicitly): Where next for nativist research? Together, these three volumes provide the most intensive and richly cross-disciplinary investigation of nativism ever undertaken. They point the way toward a synthesis of nativist work that promises to provide a powerful picture of our minds and their place in the natural order.",,,,,,,,,,1,2015-08-22,"Oxford University Press",2008-01-10,456,,978019533282,9780195332827
"Francis Bacon Francis Bacon Francis Bacon",Francis,Bacon,"Valerius Terminus; of the interpretation of nature","A comprehensive study of the scope and limits of knowledge and the nature of the mind.",,,,,,,,,,1,2015-08-22,"Hard Press",2006-11-03,50,,1406955876,9781406955873
,,,"Philosophy in an Age of Pluralism: The Philosophy of Charles Taylor in Question","This is the first comprehensive evaluation of Charles Taylor's work and a major contribution to the leading questions in philosophy and the human sciences as they face an increasingly pluralistic age. Charles Taylor is one of the most influential moral and political philosophers of our time, and these essays address topics in his thought ranging over the history of philosophy, truth, modernity and postmodernity, theism, interpretation, the human sciences, liberalism, pluralism and difference.",,,,,,,,,,1,2015-08-22,"Cambridge University Press",1995-01-27,292,,0521437423,9780521437424
"Russell Hardin",Russell,Hardin,"How Do You Know?: The Economics of Ordinary Knowledge","    How do ordinary people come to know or believe what they do? We need an account of this process to help explain why people act as they do. You might think I am acting irrationally--against my interest or my purpose--until you realize that what you know and what I know differ significantly. My actions, given my knowledge, might make eminently good sense. Of course, this pushes our problem back one stage to assess why someone knows or believes what they do. That is the focus of this book. Russell Hardin supposes that people are not usually going to act knowingly against their interests or other purposes. To try to understand how they have come to their knowledge or beliefs is therefore to be charitable in assessing their rationality. Hardin insists on such a charitable stance in the effort to understand others and their sometimes objectively perverse actions.     Hardin presents an essentially economic account of what an individual can come to know and then applies this account to many areas of ordinary life: political participation, religious beliefs, popular knowledge of science, liberalism, culture, extremism, moral beliefs, and institutional knowledge. All of these can be enlightened by the supposition that people are attempting reasonable actions under the severe constraints of acquiring better knowledge when they face demands that far outstretch their possibilities.",,,,,,,,,,1,2015-08-22,"Princeton University Press",2009-04-26,256,,0691137552,9780691137551
"Leo Strauss",Leo,Strauss,"Jewish Philosophy and the Crisis of Modernity: Essays and Lectures in Modern Jewish Thought (Suny Series, Jewish Writings of Strauss)","Explores the impact on Jews and Judaism of the crisis of modernity, analyzing modern Jewish dilemmas and providing a prescription for their resolution.This is the first book to bring together the major essays and lectures of Leo Strauss in the field of modern Jewish thought. It contains some of his most famous published writings, as well as significant writings which were previously unpublished. Spanning almost 30 years of continuously deepening reflection, the book presents the full range of Strauss's contributions as a modern Jewish thinker.These essays and lectures also offer Strauss's mature considerations of some of the great figures in modern Jewish thought, such as Baruch Spinoza, Hermann Cohen, Franz Rosenzweig, Martin Buber, Theodor Herzl, and Sigmund Freud. They also encompass his incisive analyses and original explorations of modern Judaism (which he viewed as caught in the grip of the ""theological-political crisis""): from German Jewry, anti-semitism, and the Holocaust to Zionism and the State of Israel; from the question of assimilation to the meaning and value of Jewish history. In addition Strauss's two sustained interpretations of the Hebrew Bible are also reprinted.These essays and lectures cumulatively point toward the ""postcritical"" reconstruction of Judaism which Strauss envisioned, suggesting it rebuild along  Maimonidean lines. Thus, the book lends credence to the view that Strauss was able to uncover and probe the crisis at the heart of modern Jewish thought and history, perhaps with greater profundity than any other contemporary Jewish thinker.",,,,,,,,,,1,2015-08-22,"State University of New York Press",1997-04-24,524,,0791427749,9780791427743
"Francis Bacon",Francis,Bacon,"Francis Bacon: The Major Works (Oxford World's Classics)","This authoritative edition brings together an extensive  collection of Bacon's writing--the major prose in full,  together with sixteen other pieces not otherwise  available--that reveals the essence of his work and  thinking.About the Series: For over 100 years Oxford World's Classics has made available the broadest spectrum of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship, providing the most accurate text plus a wealth of other valuable features, including expert introductions by leading authorities, voluminous notes to clarify the text, up-to-date bibliographies for further study, and much more.",,,,,,,,,,1,2015-08-22,"Oxford University Press, USA",2008-07-15,864,,0199540799,9780199540792
"Francis Bacon",Francis,Bacon,"New Atlantis and The Great Instauration","A thoroughly revised introduction, new editorial footnotes, and an updated bibliography complete this revised edition of New Atlantis and The Great Instauration. Presented here is the standard nineteenth-century text of Bacon's works as annotated by Jerry Weinberger, editor. Also included are a list of principal dates in the life of Francis Bacon and a note on the texts.",,,,,,,,,,1,2015-08-22,Wiley-Blackwell,1991-01-16,128,,0882951262,9780882951263
"Michael Walzer",Michael,Walzer,"Interpretation and Social Criticism (Tanner Lectures on Human Values, 1985)"," What do social critics do? I How do they go about doing it? Where do their principles come from? How do critics establish their distance from the people and institutions they criticize?    Michael Walzer addresses these problems in succinct and engaging fashion, providing a philosophical framework for understanding social criticism as a social practice. Walzer maintains that social criticism is an ordinary activity--less the offspring of scientific knowledge than the ""educated cousin of common complaint""-- and does not depend for its force or accuracy upon any sort of high theory. In his view, the social critic is not someone radically detached and disinterested, who looks at society as a total stranger and applies objective and universal principles. The true social critic must stand only a little to the side of his society--unlike Jean-Paul Sartre during the Algerian war, for example, who described himself as an enemy of his own people. And unlike Lenin, who judged Russian society against a standard worked out with reference to other places far away.    The ""connected"" critic is the model Walzer offers, one whose distance is measured in inches but who is highly critical nevertheless. John Locke is one example of the connected critic who argued for religious toleration not as a universal right ordained by reason but as a practical consequence of Protestant theology. The biblical prophets, such as Amos, were also men of their own day, with a particular quarrel to conduct with their fellows; the universalism of that quarrel is our own extrapolation. Walzer explains where critical principles come from, how much distance is ""critical distance,"" and what the historical practice of criticism has actually been like in the work of social philosophers such as Marx, Gramsci, Koestler, Lenin, Habermas, and Rawls.    Walzer posits a moral world already in existence, a historical product, that gives structure to our lives but whose ordinances are always uncertain and in need of scrutiny, argument, and commentary. The social critic need bring to his task only the ordinary tools of interpretation. Philosophers, political theorists, and all readers seriously interested in the possibility of a moral life will find sustenance and inspiration in this book. ",,,,,,,,,,1,2015-08-22,"Harvard University Press",1993-10-15,108,,0674459717,9780674459717
"Francis Bacon",Francis,Bacon,"Advancement of Learning (Modern Library Science), The","Francis Bacon, lawyer, statesman, and philosopher, remains one of the most effectual thinkers in European intellectual history. We can trace his influence from Kant in the 1700s to Darwin a century later. The Advancement of Learning, first published in 1605, contains an unprecedented and thorough systematization of the whole range of human knowledge. Bacon’s argument that the sciences should move away from divine philosophy and embrace empirical observation would forever change the way philosophers and natural scientists interpret their world.",,,,,,,,,,1,2015-08-22,"Modern Library",2001-10-02,254,,0375758461,9780375758461
"Gianbattista Vico",Gianbattista,Vico,"Vico: The First New Science (Cambridge Texts in the History of Political Thought)","This account of the basic theme of Vico's mature philosophy explores the question of whether philosophical theories can ever be more than an intellectual expression of the underlying beliefs of an age. The first complete English translation of the 1725 text, Vico's The First New Science ia now accessible to a broad, new readership.  It is accompanied by a glossary, bibliography, chronology of Vico's life and expository introduction.",,,,,,,,,,1,2015-08-22,"Cambridge University Press",2002-08-12,368,,0521387264,9780521387262
"Alexandre Kojève",Alexandre,Kojève,"Introduction to the Reading of Hegel: Lectures on the Phenomenology of Spirit","""This collection of Kojeve's thoughts about Hegel constitutes one of the few important philosophical books of the twentieth century—a book, knowledge of which is requisite to the full awareness of our situation and to the grasp of the most modern perspective on the eternal questions of philosophy.""—Allan Bloom (from the Introduction)During the years 1933–1939, the Russian-born and German-educated Marxist political philosopher Alexandre Kojève (1902–1968) brilliantly explicated—through a series of lectures—the philosophy of Hegel as it was developed in the Phenomenology of Spirit. This collection of lectures—originally compiled by Raymond Queneau and edited for its English-language translation by Allan Bloom—shows the intensity of Kojève's study and thought and the depth of his insight into Hegel's Phenomenology. More important—for Kojève was above all a philosopher and not an ideologue—this profound and venturesome work on Hegel will expose the readers to the excitement of discovering a great mind in all its force and power.",,,,,,,,,,1,2015-08-22,"Cornell University Press",1980-10-31,287,,0801492033,9780801492037
"Bertrand Russell",Bertrand,Russell,"Autobiography of Bertrand Russell, The","Bertrand Russell was born in 1872 and died in 1970. One of the most influential figures of the twentieth century, he transformed philosophy and can lay claim to being one of the greatest philosophers of all time. He was a Nobel Prize winner for Literature and was imprisoned several times as a result of his pacifism. His views on religion, education, sex, politics and many other topics, made him one of the most read and revered writers of the age. This, his autobiography, is one of the most compelling and vivid ever written. This one-volume, compact paperback edition contains an introduction by the politician and scholar, Michael Foot, which explores the status of this classic nearly 30 years after the publication of the final volume.",,,,,,,,,,1,2015-08-22,Routledge,,760,,0041522862,9780415228626
"Jürgen Habermas",Jürgen,Habermas,"Future of Human Nature, The","Recent developments in biotechnology and genetic research are raising complex ethical questions concerning the legitimate scope and limits of genetic intervention. As we begin to contemplate the possibility of intervening in the human genome to prevent diseases, we cannot help but feel that the human species might soon be able to take its biological evolution in its own hands. 'Playing God' is the metaphor commonly used for this self-transformation of the species, which, it seems, might soon be within our grasp.In this important new book, Jurgen Habermas - the most influential philosopher and social thinker in Germany today - takes up the question of genetic engineering and its ethical implications and subjects it to careful philosophical scrutiny. His analysis is guided by the view that genetic manipulation is bound up with the identity and self-understanding of the species. We cannot rule out the possibility that knowledge of one's own hereditary factors may prove to be restrictive for the choice of an individual's way of life and may undermine the symmetrical relations between free and equal human beings. In the concluding chapter - which was delivered as a lecture on receiving the Peace Prize of the German Book Trade for 2001 - Habermas broadens the discussion to examine the tension between science and religion in the modern world, a tension which exploded, with such tragic violence, on September 11th.",,,,,,,,,,1,2015-08-22,Polity,2003-04-18,136,,0745629873,9780745629872
"Joseph Raz",Joseph,Raz,"Practice of Value (The Berkeley Tanner Lectures), The","The Practice of Value explores the nature of value and its relation to the social and historical conditions under which human agents live. At the core of the book are the Tanner Lectures delivered at Berkeley in 2001 by Joseph Raz, who has been one of the leading figures in moral and legal philosophy since the 1970's. Raz argues that values depend importantly on social practices, but that we can make sense of this dependence without falling back on cultural relativism. In response, three eminent philosophers, Christine Korsgaard, Robert Pippin, and Bernard Williams, offer their own distinctive reflections on the connections between value and practice. The book begins with an introduction by Jay Wallace, setting the scene for what follows, and ends with a response from Raz to his commentators. The result is a fascinating debate, accessible to readers throughout and beyond philosophy, about the relations between human values and human life.",,,,,,,,,,1,2015-08-22,"Oxford University Press",2005-03-24,170,,0199278466,9780199278466
"G. W. F. Hegel",G.,Hegel,"Philosophy of Right (Focus Philosophical Library), The","A modern, highly readable translation of a primary text in Western philosophy. Complete translation in English with introduction, notes and glossary. The glossary is keyed to the primary occurrences of important terms in the text and provides insights into the concepts beyond the translation, especially useful pedagogical device for students coming to Hegel for the first time.Focus Philosophical Library translations are close to and are non-interpretative of the original text, with the notes and a glossary intending to provide the reader with some sense of the terms and the concepts as they were understood by Hegel’s immediate audience.",,,,,,,,,,1,2015-08-22,"Focus Publishing/R. Pullins Co.",2002-11-01,288,,1585100412,9781585100415
Spinoza,Spinoza,Spinoza,"Theologico-Political Treatise (Focus Philosophical Library)","A complete translation in English of this modern text, with substantive apparatus to allow the student and serious reader to grapple in a meaningful way with this seminal text. The text includes ample footnotes, Spinoza’s annotations, an interpretative essay, glossary and other indices. Focus Philosophical Library translations are close to and are non-interpretative of the original text, with the notes and a glossary intending to provide the reader with some sense of the terms and the concepts as they were understood by Spinoza’s immediate audience.This is the paperback edition.",,,,,,,,,,1,2015-08-22,"Focus Publishing/R. Pullins Co.",2004-10-01,458,,1585100854,9781585100859
"Daniel Dennett",Daniel,Dennett,"Darwin's Dangerous Idea: Evolution and the Meanings of Life","Offers a wider perspective on Darwin's scientific theory of  natural selection, explaining how it extends beyond biology, analyzing  current controversies over the origins of life and inherent biases, and  challenging popular philosophies. 35,000 first printing. Tour.",,,,,,,,,,1,2015-08-22,"Simon & Schuster",1995-05-10,592,,0684802902,9780684802909
,,,"Conceptual Issues in Evolutionary Biology (Bradford Books)","These essays by leading scientists and philosophers address conceptual                 issues that arise in the theory and practice of evolutionary biology. The third                 edition of this widely used anthology has been substantially revised and updated.                 Four new sections have been added: on women in the evolutionary process,                 evolutionary psychology, laws in evolutionary theory, and race as social                 construction or biological reality. Other sections treat fitness, units of                 selection, adaptationism, reductionism, essentialism, species, phylogenetic                 inference, cultural evolution, and evolutionary ethics.Each of the twelve sections                 contains two or three essays that develop different views of the subject at hand.                 For example, the section on evolutionary psychology offers one essay by two founders                 of the field and another that questions its main tenets. One sign that a discipline                 is growing is that there are open questions, with multiple answers still in                 competition; the essays in this volume demonstrate that evolutionary biology and the                 philosophy of evolutionary biology are living, growing                 disciplines.Contributors:Robin O. Andreasen, Kwame Anthony Appiah, David A. Baum,                 John H. Beatty, David J. Buller, Leda Cosmides, James Donoghue, Steven J. Farris,                 Joseph Felsenstein, Susan K. Finsen, Joseph Fracchia, Stephen Jay Gould, Sarah                 Blaffer Hrdy, David L. Hull, Philip Kitcher, R. C. Lewontin, Elisabeth Lloyd, Ernst                 Mayr, Michael Ruse, John Maynard Smith, Elliott Sober, John Tooby, C. Kenneth                 Waters, George C. Williams, David Sloan Wilson, E. O. Wilson",,,,,,,,,,1,2015-08-22,"A Bradford Book",2006-08-04,640,,0262693380,9780262693387
"Robert Wright",Robert,Wright,"Moral Animal: Why We Are The Way We Are:  The New Science of Evolutionary, The","Are men literally born to cheat? Does monogamy actually serve women's interests? These are among the questions that have made The Moral Animal one of the most provocative science books in recent years. Wright unveils the genetic strategies behind everything from our sexual preferences to our office politics--as well as their implications for our moral codes and public policies. Illustrations.From the Trade Paperback edition.",,,,,,,,,,1,2015-08-22,Pantheon,1994-08-23,467,,0679407731,9780679407737
"Pierre Manent",Pierre,Manent,"City of Man, The","   The ""City of God"" or the ""City of Man""? This is the choice St. Augustine offered 1500 years ago--and according to Pierre Manent the modern West has decisively and irreversibly chosen the latter. In this subtle and wide-ranging book on the Western intellectual and political condition, Manent argues that the West has rejected the laws of God and of nature in a quest for human autonomy. But in declaring ourselves free and autonomous, he contends, we have, paradoxically, lost a sense of what it means to be human.   In the first part of the book, Manent explores the development of the social sciences since the seventeenth century, portraying their growth as a sign of increasing human ""self-consciousness."" But as social scientists have sought to free us from the intellectual confines of the ancient world, he writes, they have embraced modes of analysis--economic, sociological, and historical--that treat only narrow aspects of the human condition and portray individuals as helpless victims of impersonal forces. As a result, we have lost all sense of human agency and of the unified human subject at the center of intellectual study. Politics and culture have come to be seen as mere foam on the tides of historical and social necessity.   In the second half of the book, titled ""Self-Affirmation,"" Manent examines how the West, having discovered freedom, then discovered arbitrary will and its dangers. With no shared touchstones or conceptions of virtue, for example, we have found it increasingly hard to communicate with each other. This is a striking contrast to the past, he writes, when even traditions as different as the Classical and the Christian held many of these conceptions in common.   The result of these discoveries, according to Manent, is the disturbing rootlessness that characterizes our time. By gaining autonomy from external authority, we have lost a sense of what we are. In ""giving birth"" to ourselves, we have abandoned that which alone can nurture and sustain us. With penetrating insight and remarkable erudition, Manent offers a profound analysis of the confusions and contradictions at the heart of the modern condition.",,,,,,,,,,1,2015-08-22,"Princeton University Press",1998-03-23,240,,0691011443,9780691011448
