authors,first_name,last_name,title,description,rating,review_date,review,status,began_date,completed_date,tags,notes,groups,copies,created,publisher,publish_date,pages,price,isbn10,isbn13
"Viktor Mayer-Schönberger,Thomas Ramge",Viktor,Mayer-Schönberger,"Reinventing Capitalism in the Age of Big Data","From the New York Times bestselling author of Big Data, a prediction for how data will revolutionize the market economy and make cash, banks, and big companies obsolete In modern history, the story of capitalism has been a story of firms and financiers. That's all going to change thanks to the Big Data revolution. As Viktor Mayer-Schönberger, bestselling author of Big Data, and Thomas Ramge, who writes for The Economist, show, data is replacing money as the driver of market behavior. Big finance and big companies will be replaced by small groups and individual actors who make markets instead of making things: think Uber instead of Ford, or Airbnb instead of Hyatt. This is the dawn of the era of data capitalism. Will it be an age of prosperity or of calamity? This book provides the indispensable roadmap for securing a better future.",,,,Completed,2020-09-13,2020-09-18,,,,1,2019-08-31,"Basic Books",2018-02-27,288,,0465093698,9780465093694
"Jerry Z. Muller",Jerry,Muller,"Mind and the Market, The","Capitalism has never been a subject for economists alone. Philosophers, politicians, poets and social scientists have debated the cultural, moral, and political effects of capitalism for centuries, and their claims have been many and diverse. The Mind and the Market is a remarkable history of how the idea of capitalism has developed in Western thought. Ranging across an ideological spectrum that includes Hobbes, Voltaire, Adam Smith, Edmund Burke, Hegel, Marx, and Matthew Arnold, as well as twentieth-century communist, fascist, and neoliberal intellectuals, historian Jerry Muller examines a fascinating thread of ideas about the ramifications of capitalism and its future implications. This is an engaging and accessible history of ideas that reverberate throughout everyday life.",,,,,,,,,,1,2019-08-31,Anchor,2007-12-18,512,,0307428990,9780307428998
"Cathy O'Neil",Cathy,O'Neil,"Weapons of Math Destruction","Longlisted for the National Book Award New York Times Bestseller A former Wall Street quant sounds an alarm on the mathematical models that pervade modern life — and threaten to rip apart our social fabric We live in the age of the algorithm. Increasingly, the decisions that affect our lives—where we go to school, whether we get a car loan, how much we pay for health insurance—are being made not by humans, but by mathematical models. In theory, this should lead to greater fairness: Everyone is judged according to the same rules, and bias is eliminated. But as Cathy O’Neil reveals in this urgent and necessary book, the opposite is true. The models being used today are opaque, unregulated, and uncontestable, even when they’re wrong. Most troubling, they reinforce discrimination: If a poor student can’t get a loan because a lending model deems him too risky (by virtue of his zip code), he’s then cut off from the kind of education that could pull him out of poverty, and a vicious spiral ensues. Models are propping up the lucky and punishing the downtrodden, creating a “toxic cocktail for democracy.” Welcome to the dark side of Big Data. Tracing the arc of a person’s life, O’Neil exposes the black box models that shape our future, both as individuals and as a society. These “weapons of math destruction” score teachers and students, sort résumés, grant (or deny) loans, evaluate workers, target voters, set parole, and monitor our health. O’Neil calls on modelers to take more responsibility for their algorithms and on policy makers to regulate their use. But in the end, it’s up to us to become more savvy about the models that govern our lives. This important book empowers us to ask the tough questions, uncover the truth, and demand change. — Longlist for National Book Award (Non-Fiction) — Goodreads, semi-finalist for the 2016 Goodreads Choice Awards (Science and Technology) — Kirkus, Best Books of 2016 — New York Times, 100 Notable Books of 2016 (Non-Fiction) — The Guardian, Best Books of 2016 — WBUR's ""On Point,"" Best Books of 2016: Staff Picks — Boston Globe, Best Books of 2016, Non-Fiction",,,,Completed,2020-10-08,2020-10-10,,,,1,2019-08-31,Crown,2016-09-06,272,,0553418823,9780553418828
"Jonathan Wilson",Jonathan,Wilson,"Inverting The Pyramid","“An outstanding work … the [soccer] book of the decade.” —Sunday Business Post Inverting the Pyramid is a pioneering soccer book that chronicles the evolution of soccer tactics and the lives of the itinerant coaching geniuses who have spread their distinctive styles across the globe. Through Jonathan Wilson's brilliant historical detective work we learn how the South Americans shrugged off the British colonial order to add their own finesse to the game; how the Europeans harnessed individual technique and built it into a team structure; how the game once featured five forwards up front, while now a lone striker is not uncommon. Inverting the Pyramid provides a definitive understanding of the tactical genius of modern-day Barcelona, for the first time showing how their style of play developed from Dutch “Total Football,” which itself was an evolution of the Scottish passing game invented by Queens Park in the 1870s and taken on by Tottenham Hotspur in the 1930s. Inverting the Pyramid has been called the “Big Daddy” (Zonal Marking) of soccer tactics books; it is essential for any coach, fan, player, or fantasy manager of the beautiful game",,,,,,,,,,1,2019-08-31,"Nation Books",2013-11-05,400,,1568589638,9781568589633
"Tom Vanderbilt",Tom,Vanderbilt,"You May Also Like","Why do we get so embarrassed when a colleague wears the same shirt? Why do we eat the same thing for breakfast every day, but seek out novelty at lunch and dinner? How has streaming changed the way Netflix makes recommendations? Why do people think the music of their youth is the best? How can you spot a fake review on Yelp? Our preferences and opinions are constantly being shaped by countless forces – especially in the digital age with its nonstop procession of “thumbs up” and “likes” and “stars.” Tom Vanderbilt, bestselling author of Traffic, explains why we like the things we like, why we hate the things we hate, and what all this tell us about ourselves. With a voracious curiosity, Vanderbilt stalks the elusive beast of taste, probing research in psychology, marketing, and neuroscience to answer myriad complex and fascinating questions. If you’ve ever wondered how Netflix recommends movies or why books often see a sudden decline in Amazon ratings after they win a major prize, Tom Vanderbilt has answers to these questions and many more that you’ve probably never thought to ask. From the Hardcover edition.",,,,,,,,,,1,2019-08-31,Knopf,2016-05-10,320,,0307958256,9780307958259
"Tim Weiner",Tim,Weiner,Enemies,"NAMED ONE OF THE BEST BOOKS OF THE YEAR BY The Washington Post • New York Daily News • Slate “Fast-paced, fair-minded, and fascinating, Tim Weiner’s Enemies turns the long history of the FBI into a story that is as compelling, and important, as today’s headlines.”—Jeffrey Toobin, author of The Oath NATIONAL BESTSELLER Enemies is the first definitive history of the FBI’s secret intelligence operations, from an author whose work on the Pentagon and the CIA won him the Pulitzer Prize and the National Book Award. We think of the FBI as America’s police force. But secret intelligence is the Bureau’s first and foremost mission. Enemies is the story of how presidents have used the FBI to conduct political warfare, and how the Bureau became the most powerful intelligence service the United States possesses. Here is the hidden history of America’s hundred-year war on terror. The FBI has fought against terrorists, spies, anyone it deemed subversive—and sometimes American presidents. The FBI’s secret intelligence and surveillance techniques have created a tug-of-war between national security and civil liberties. It is a tension that strains the very fabric of a free republic. Praise for Enemies “Outstanding.”—The New York Times “Absorbing . . . a sweeping narrative that is all the more entertaining because it is so redolent with screw-ups and scandals.”—Los Angeles Times",,,,,,,,,,1,2019-08-31,"Random House",2012-02-14,560,,0679643893,9780679643890
"Arthur Conan Doyle",Arthur,Doyle,"Complete Sherlock Holmes, The","The complete collection of Sir Arthur Conan Doyle's Sherlock Holmes tales, both long and short, compiled together for the first time by Simon & Schuster. This fantastic collection is accompanied by an exciting new introduction from Robert Ryan, a writer whose own book, Dead Man's Land, has been fully endorsed by the Conan Doyle Estate. A big Holmes fan himself, he will undoubtedly provide a fascinating new look at the detective and his bizarre ability to read both people and objects, in order to discover who dunnit.",,,,,,,,,,1,2019-08-31,"Simon and Schuster",2012-12-13,800,,1471127184,9781471127182
"William Gibson",William,Gibson,Neuromancer,"SPECIAL 20TH ANNIVERSARY EDITION —THE MOST IMPORTANT AND INFLUENTIAL SCIENCE FICTION NOVEL OF THE PAST TWO DECADES Twenty years ago, it was as if someone turned on a light. The future blazed into existence with each deliberate word that William Gibson laid down. The winner of Hugo, Nebula, and Philip K. Dick Awards, Neuromancer didn't just explode onto the science fiction scene—it permeated into the collective consciousness, culture, science, and technology. Today, there is only one science fiction masterpiece to thank for the term ""cyberpunk,"" for easing the way into the information age and Internet society. Neuromancer's virtual reality has become real. And yet, William Gibson's gritty, sophisticated vision still manages to inspire the minds that lead mankind ever further into the future.",,,,Completed,,,,,,1,2019-08-31,Penguin,2000-07-01,288,,110114646X,9781101146460
"Sarah Bakewell",Sarah,Bakewell,"How to Live","Winner of the 2010 National Book Critics Circle Award for Biography How to get along with people, how to deal with violence, how to adjust to losing someone you love—such questions arise in most people’s lives. They are all versions of a bigger question: how do you live? How do you do the good or honorable thing, while flourishing and feeling happy? This question obsessed Renaissance writers, none more than Michel Eyquem de Monatigne, perhaps the first truly modern individual. A nobleman, public official and wine-grower, he wrote free-roaming explorations of his thought and experience, unlike anything written before. He called them “essays,” meaning “attempts” or “tries.” Into them, he put whatever was in his head: his tastes in wine and food, his childhood memories, the way his dog’s ears twitched when it was dreaming, as well as the appalling events of the religious civil wars raging around him. The Essays was an instant bestseller and, over four hundred years later, Montaigne’s honesty and charm still draw people to him. Readers come in search of companionship, wisdom and entertainment—and in search of themselves. This book, a spirited and singular biography, relates the story of his life by way of the questions he posed and the answers he explored. It traces his bizarre upbringing, youthful career and sexual adventures, his travels, and his friendships with the scholar and poet Étienne de La Boétie and with his adopted “daughter,” Marie de Gournay. And we also meet his readers—who for centuries have found in Montaigne an inexhaustible source of answers to the haunting question, “how to live?”",,,,Completed,,,,,,1,2019-08-31,"Other Press, LLC",2010-10-19,389,,1590514262,9781590514269
"Scott Atran",Scott,Atran,"Talking to the Enemy","“Atran explores the way terrorists think of themselves and teaches us, at last, intelligent ways to think about terrorists.” —Christopher Dickey, Newsweek Middle East Editor and author of Securing the City Talking to the Enemy by Scott Atran is an eye-opening and important book that offers readers a startling look deep inside terror groups. Based on the author’s unprecedented access to and in-depth interviews with terrorists and jihadis—including Al Qaeda, Hamas, and Taliban extremists, as well as members of other radical Islamic terror organizations—Talking to the Enemy provides fresh insight and unexpected answers to why there are people in this world willing to kill and die for a cause. A riveting, compelling work in the tradition of The Looming Tower and Terror in the Name of God, Talking to the Enemy is required reading for anyone interested in making the world a safer, more secure place for everyone.",,,,,,,,,,1,2019-08-31,"Harper Collins",2010-10-19,576,,0062020749,9780062020741
"Ray Fisman",Ray,Fisman,"Org: How The Office Really Works, The",,,,,Completed,,,,,,1,2019-08-31,"John Murray Publishers Ltd",,,,1848549962,9781848549968
"Bryan Caplan",Bryan,Caplan,"Selfish Reasons to Have More Kids","Contrarian economist Bryan Caplan takes on family planning and happiness--and turns conventional wisdom on its head.",,,,Completed,,,,,,1,2019-08-31,"Basic Books",2011-01-01,240,,046502341X,9780465023417
"Daniel C. Dennett",Daniel,Dennett,"Intuition Pumps And Other Tools for Thinking","“The best new book I’ve read.”—Richard Dawkins, New York Times Book Review Over a storied career, Daniel C. Dennett has engaged questions about science and the workings of the mind. His answers have combined rigorous argument with strong empirical grounding. And a lot of fun. Intuition Pumps and Other Tools for Thinking offers seventy-seven of Dennett’s most successful ""imagination-extenders and focus-holders"" meant to guide you through some of life’s most treacherous subject matter: evolution, meaning, mind, and free will. With patience and wit, Dennett deftly deploys his thinking tools to gain traction on these thorny issues while offering readers insight into how and why each tool was built. Alongside well-known favorites like Occam’s Razor and reductio ad absurdum lie thrilling descriptions of Dennett’s own creations: Trapped in the Robot Control Room, Beware of the Prime Mammal, and The Wandering Two-Bitser. Ranging across disciplines as diverse as psychology, biology, computer science, and physics, Dennett’s tools embrace in equal measure light-heartedness and accessibility as they welcome uninitiated and seasoned readers alike. As always, his goal remains to teach you how to ""think reliably and even gracefully about really hard questions."" A sweeping work of intellectual seriousness that’s also studded with impish delights, Intuition Pumps offers intrepid thinkers—in all walks of life—delicious opportunities to explore their pet ideas with new powers.",,,,,,,,,,1,2019-08-31,"W. W. Norton & Company",2013-05-06,384,,0393240681,9780393240689
"Miguel de Cervantes,Edith Grossman",Miguel,Cervantes,"Don Quixote","Edith Grossman's definitive English translation of the Spanish masterpiece. Widely regarded as the world's first modern novel, and one of the funniest and most tragic books ever written, Don Quixote chronicles the famous picaresque adventures of the noble knight-errant Don Quixote of La Mancha and his faithful squire, Sancho Panza, as they travel through sixteenth-century Spain. Unless you read Spanish, you've never read Don Quixote. ""Though there have been many valuable English translations of Don Quixote, I would commend Edith Grossman's version for the extraordinarily high quality of her prose. The Knight and Sancho are so eloquently rendered by Grossman that the vitality of their characterization is more clearly conveyed than ever before. There is also an astonishing contextualization of Don Quixote and Sancho in Grossman's translation that I believe has not been achieved before. The spiritual atmosphere of a Spain already in steep decline can be felt throughout, thanks to her heightened quality of diction. Grossman might be called the Glenn Gould of translators, because she, too, articulates every note. Reading her amazing mode of finding equivalents in English for Cervantes's darkening vision is an entrance into a further understanding of why this great book contains within itself all the novels that have followed in its sublime wake."" From the Introduction by Harold Bloom Miguel de Cervantes was born on September 29, 1547, in Alcala de Henares, Spain. At twenty-three he enlisted in the Spanish militia and in 1571 fought against the Turks in the battle of Lepanto, where a gunshot wound permanently crippled his left hand. He spent four more years at sea and then another five as a slave after being captured by Barbary pirates. Ransomed by his family, he returned to Madrid but his disability hampered him; it was in debtor's prison that he began to write Don Quixote. Cervantes wrote many other works, including poems and plays, but he remains best known as the author of Don Quixote. He died on April 23, 1616.",,,,,,,,,,1,2019-08-31,"Harper Collins",2009-02-10,992,,0061957887,9780061957888
"William Zinsser",William,Zinsser,"On Writing Well, 30th Anniversary Edition","On Writing Well has been praised for its sound advice, its clarity and the warmth of its style. It is a book for everybody who wants to learn how to write or who needs to do some writing to get through the day, as almost everybody does in the age of e-mail and the Internet. Whether you want to write about people or places, science and technology, business, sports, the arts or about yourself in the increasingly popular memoir genre, On Writing Well offers you fundamental priciples as well as the insights of a distinguished writer and teacher. With more than a million copies sole, this volume has stood the test of time and remains a valuable resource for writers and would-be writers.",,,,,,,,,,1,2019-08-31,"Harper Collins",2012-09-11,336,,0062250507,9780062250506
"Nicole Fenton,Kate Kiefer Lee",Nicole,Fenton,"Nicely Said","Whether you’re new to web writing, or you’re a professional writer looking to deepen your skills, this book is for you. You’ll learn how to write web copy that addresses your readers’ needs and supports your business goals. Learn from real-world examples and interviews with people who put these ideas into action every day: Kristina Halvorson of Brain Traffic, Tiffani Jones Brown of Pinterest, Randy J. Hunt of Etsy, Gabrielle Blair of Design Mom, Mandy Brown of Editorially, Sarah Richards of GOV.UK, and more. Topics include: • Write marketing copy, interface flows, blog posts, legal policies, and emails • Develop behind-the-scenes documents like mission statements, survey questions, and project briefs • Find your voice and adapt your tone for the situation • Build trust and foster relationships with readers • Make a simple style guide “Writing is a skill that will hugely benefit anyone’s career, and luckily, it’s a skill that anyone can learn. Nicely Said is a wonderful guide to writing clearly and concisely for the audience you’re trying to reach. Whether you’re a professional or just getting started, you’ll find a ton to steal from here.” (—Austin Kleon, author of Steal Like An Artist and Show Your Work! ""Between them, Kate and Nicole have written for many of the web's most valuable and respected companies. Their commitment to clarity and kindness is the result of their experience, and it makes them extraordinary teachers."" - Erin Kissane, author of The Elements of Content Strategy",,,,,,,,,,1,2019-08-31,"New Riders",2014-05-16,192,,0133818438,9780133818437
"Robert Jackall",Robert,Jackall,"Moral Mazes: The World of Corporate Managers","This classic study of ethics in business presents an eye-opening account of how corporate managers think the world works, and how big organizations shape moral consciousness. Robert Jackall takes the reader inside a topsy-turvy world where hard work does not necessarily lead to success, but sharp talk, self-promotion, powerful patrons, and sheer luck might. What sort of everyday rules-in-use do people play by when there are no fixed standards to explain why some succeed and others fail? In the words of one corporate manager, those rules boil down to this maxim: ""What is right in the corporation is what the guy above you wants from you. That's what morality is in the corporation."" This brilliant, disturbing, funny look at the ethos of the corporate world presents compelling real life stories of the men and women charged with running the businesses of America. This anniversary edition includes an afterword by the author linking the themes of Moral Mazes to the financial tsunami that engulfed the world economy in 2008.",,,,,,,,,,1,2019-08-31,"Oxford University Press, USA",2009-12-08,320,,0199729883,9780199729883
